Column1;Title;KBA;Resolution;class
0;Need Ethernet access;KBA000029;Please connect the LAN cable to the red port on your workstation. Please write back to IT if you are unable to get the IP addresss;41
1;Create new account and share the username and password;KBA000014;Go to URL : accountsetup.com, Enter personal details along with user id, enter OTP received, click finish. Check email for details.;35
2;FW: Myspace Login Issue-- Ania;KBA000015;Go to URL : password.reset.com, Enter you login id, enter password received, reset the password;36
3;Login credetials are not working.;KBA000015;Go to URL : password.reset.com, Enter you login id, enter password received, reset the password;36
4;New Account is needed for a new joinee.;KBA000014;Go to URL : accountsetup.com, Enter personal details along with user id, enter OTP received, click finish. Check email for details.;35
5;Request to configure the system to share it among users;KBA000038;They won't be able to access other profiles if they login with their account. Please ask users to reach out to IT if they have any issues.;46
6;Needs permission wifi access to laptop;KBA000011;First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access;34
7;LAN not working in a VM;KBA000005;changed network settings to Bridged and configured network in VM.;49
8;Wifi access needed.;KBA000011;First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access;34
9;My Space QA application is down;KBA000048;We regret for the inconvinience caused. The issue is with Host server which got rebooted due to a power failure.;48
10;Configure outlook in my system;KBA000021;IT Team has sent the instructions to configure outlook -follow the instructions on https://ticket.abc.com/kb/faq.php and click on O365 and solution and then outlook configuration for your machines;39
11;Install postgres database on my machine;KBA000012;Go to \imfs\software\postgres location, copy postgresql database into local and install;37
12;System showing blue screen on startup;KBA000001;1. Hold the power button until system gets shut down, then hit the power button to boot the machine. If still blue screen appears contact IT team and surrender the laptop.;32
13;Desktop not working;KBA000028;Please check the Power cables are properly plugged , Please write back to us if the Problem still persists.;40
14;System behaving strangely, blue screen is appearing in middle;KBA000033;Press F8 button on system start, Choose safe mode, if OS loads then restart the os, if still same issue comes handover it to IT team;45
15;My Internet is not working;KBA000013;Go to network tab from bottom right corner, choose inn001 network, click on connect;38
16;Account got locked, because of 3 wrong attempts os password. Could you please reset the password;KBA000042;Unlocked the account and new password is sent to your email id.;47
17;System hangs with blue screen on startup;KBA000033;Press F8 button on system start, Choose safe mode, if OS loads then restart the os, if still same issue comes handover it to IT team;45
18;Unable to connect to Internet;KBA000013;Go to network tab from bottom right corner, choose inn001 network, click on connect;38
19;Facing network/internet issue with wifi xwq090;KBA000013;Go to network tab from bottom right corner, choose inn001 network, click on connect;38
20;Replace the battery for my Macbook laptop;KBA000032;Please run Battery Helath test and send us the results IT team will do the needful accordingly. Please follow the steps to cehck the battery Helath https://ticket.abc.com/kb/faq.php Hardware issue-Battery issue;44
21;Computer is not getting switched on;KBA000008;Contact IT support.;33
22;Forgot the password, can you please reset the password for me.;KBA000015;Go to URL : password.reset.com, Enter you login id, enter password received, reset the password;36
23;MySpace Password Expiry;KBA000031;Please reset the passowrd using self service Portal http://ssp.abc.com, Please write back to us if you face any issue.;43
24;install MS office;KBA000030;Please login to web mail and go to settings -office 365 -install applications- download and install MS office for your machine.;42
25;Password expired.;KBA000015;Go to URL : password.reset.com, Enter you login id, enter password received, reset the password;36
26;Account locked. Not able to login;KBA000042;Unlocked the account and new password is sent to your email id.;47
27;Are spaces allowed in email addresses?;KBA000022;"Just like an Internet URL no spaces are allowed in an e-mail address. However, names can be broken up using a period; for example, John Smith may have an e-mail address: john.smith@example.com or john.s@example.com because no spaces are allowed in the e-mail address.";12
28;Can a virus damage computer hardware?;KBA000026;No. Computer viruses are software code designed to spread to computer files and other computers, delete files, and cause other problems with the data on the computer. So if you're experiencing an issue with a hardware device such as your printer, video card, sound card, etc. it is not due to a virus.;16
29;Does Windows come with a virus protection program?;KBA000003;All versions of Microsoft Windows do not come pre-installed with a virus protection program. This includes: Microsoft Windows 7 and Windows 10.;1
30;How can I clean my keyboard?;KBA000036;The keys on a keyboard are only clipped on, with a knife or other thin object, carefully pop the keys off, this will allow you to clean under the keys as well as cleaning the keys themselves (make sure you remember where they went!).;20
31;How can I recover a file from the recycle bin?;KBA000009;Double click the recycle bin icon on your desktop, here you will see all of the files within your bin. Select the files you wish to recover, right click and choose restore.;5
32;How can I update my Microsoft Windows computer?;KBA000018;If you are running Microsoft Windows 7, Windows 10, or a later version of Microsoft Windows, you are eligible to update Microsoft Windows, and in some cases, your computer hardware with the latest drivers through Microsoft's update site, visit http://windowsupdate.microsoft.com. In most cases your computer should be set to automatically update when a new update becomes available.;9
33;How do I delete Internet cookies?;KBA000025;Microsoft Internet Explorer users can go to 'Tools' (or the little cog icon in the top left), then go to 'Safety' and choose 'Delete browsing history...', you can then choose to delete your Internet cookies. In Google Chrome, go to 'More Tools' and choose 'Clear browsing data...'. Firefox users can go to 'History', then choose 'Clear recent history...'.;15
34;How do I determine my computer's name?;KBA000034;Right-click My Computer. Click Properties. In the Properties window, click the Computer Name tab. Within this tab you'll be able to see the full computer name, workgroup and also a description. If you wish to change the name or workgroup, click the Change button.;18
35;How do I fix a paper jam?;KBA000041;Turn off the printer. Inspect the location or tray the printed paper ejects to. If the stuck paper is visible manually remove it. Remove all paper trays and any paper that may be stuck between the tray and the printer. If the stuck paper is visible manually remove it. Open the printer door that allows you access to the printer ink cartridges or toner and look for any stuck paper. If the stuck paper is visible manually remove it. Turn the printer back on.;24
36;How do I get into safe mode?;KBA000039;"To get into the Windows 7 / 10 Safe mode, as the computer is starting up press and hold your ""F8 Key"" which should bring up the ""Windows Advanced Options Menu"". Use your arrow keys to move to ""Safe Mode"" and press your Enter key.";22
37;How do I map a network drive?;KBA000027;"Open Microsoft Explorer. From Explorer, click the Tools drop down menu and click the option ""Map Network Drive."" Specify the network drive or network computer as the folder. If the computer's name was hope, to map to that computer, type \\hope If you wished to map to a shared folder on the hope computer such as a mp3 folder, you would type \\hope\mp3. If a different username or login is required to connect to this computer or drive it must be specified in this window before clicking the finish.";17
38;I am unable to send or receive email?;KBA000047;Verify that your computer is able to see the Internet and/or other computers to ensure that your computer is not encountering a connection issue, which would be causing your e-mail issue. Ensure that your Internet e-mail server or your Network e-mail server is not encountering issues by contacting either your Internet Service Provider or your Network administrator.;29
39;I can't connect to my network drive anymore?;KBA000046;Verify that the network cable is properly connected to the back of the computer. In addition, when checking the connection of the network cable, ensure that the LED's on the network are properly illuminated. For example, a network card with a solid green LED or light usually indicates that the card is either connected or receiving a signal. Note: generally, when the green light is flashing, this is an indication of data being sent or received.;28
40;I can't delete a file because it is being used by Windows?;KBA000007;Close all programs running on the computer and try again. If after closing all programs running on the computer you are still encountering the same issue when attempting to delete files, load the computer into Safe Mode and delete the files.;4
41;I can't receive any email attachments?;KBA000016;If the e-mail box is full of other e-mail messages, and/or your storage space is only a few megabytes, it's possible that the attachment being sent cannot be received. Often if this problem is occurring the person sending the e-mail should get a response back from your e-mail server indicating that your mailbox is full and/or has exceeded its allocated size. Because computer viruses and other malware are best distributed through e-mail, many e-mail service providers, companies, and e-mail programs prevent certain types of file extensions from being distributed or received through e-mail. For example, Microsoft Outlook protect its users by automatically disabling certain file extension types from being received in e-mail.;7
42;I get a 'no signal input' message, what do I do?;KBA000045;Verify that the monitor is properly connected in the back of the monitor as well as to the back of the computer. If the monitor appears to be connected properly, verify that a cable is not loose by disconnecting all cables that can be disconnected in the back of the monitor (generally the data cable cannot be disconnected). Next, disconnect the data cable connected to the back of the computer and then reconnect the cable. When connecting the cable in the back of the computer ensure the cable connection is tight. Most Computers will also have screw ends that can be screwed in to hold the connector in place.;27
