Severity;Time;HourOfDay;Host;Problem;Urgency;Assignment Group
Information;22.03.21 20:46;20;sysmail;System name has changed (new name: mailgateway);0 - Very Low;Data Center Services
Warning;22.03.21 20:44;20;sysmail;High swap space usage ( less than 50% free);0 - Very Low;Data Center Services
Average;22.03.21 20:44;20;sysmail;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Average;22.03.21 20:42;20;sysmail;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;22.03.21 20:37;20;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;22.03.21 20:32;20;asterisk;/etc/passwd has been changed;3 - High;Data Center Services
Warning;22.03.21 20:28;20;sysmail;sysmail has been restarted (uptime < 10m);3 - High;Data Center Services
Average;22.03.21 20:23;20;asterisk;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Average;22.03.21 20:22;20;asterisk;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Warning;22.03.21 20:21;20;asterisk;High swap space usage ( less than 50% free);0 - Very Low;Data Center Services
Information;22.03.21 20:00;20;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;22.03.21 19:06;19;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;22.03.21 17:05;17;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;22.03.21 14:50;14;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;22.03.21 13:32;13;GitLab Contabo;High swap space usage ( less than 50% free);0 - Very Low;Data Center Services
Warning;22.03.21 13:06;13;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;22.03.21 11:11;11;GS1900-10HP Gartenhaus;Interface GigabitEthernet6(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;22.03.21 08:30;8;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;22.03.21 07:08;7;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;22.03.21 02:35;2;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;22.03.21 01:06;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;21.03.21 23:45;23;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;21.03.21 21:32;21;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;21.03.21 20:43;20;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;21.03.21 20:20;20;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;21.03.21 19:55;19;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;21.03.21 19:05;19;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
High;21.03.21 15:33;15;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
High;21.03.21 15:32;15;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;21.03.21 15:32;15;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;21.03.21 15:32;15;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
Warning;21.03.21 14:54;14;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;21.03.21 14:20;14;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;21.03.21 13:06;13;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;21.03.21 08:20;8;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;21.03.21 07:05;7;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;21.03.21 02:25;2;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;21.03.21 01:05;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;20.03.21 20:20;20;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;20.03.21 19:06;19;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;20.03.21 14:15;14;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;20.03.21 13:05;13;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
