AlgorithmName;ModelPath;AccuracyMacro;AccuracyMicro;TotalTests;CorrectlyClassified;CorrectlyTop5;PercentCorrect;PercentTop5Correct
SdcaMaximumEntropy;C:\Users\max\source\repos\masterthesis\Experiments\EventClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\AssignmentGroup_events_SdcaMaximumEntropyModel.zip;1;1;1000;1000;1000;1;1
LightGbm;C:\Users\max\source\repos\masterthesis\Experiments\EventClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\AssignmentGroup_events_LightGbmModel.zip;1;1;1000;1000;1000;1;1
LbfgsMaximumEntropy;C:\Users\max\source\repos\masterthesis\Experiments\EventClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\AssignmentGroup_events_LbfgsMaximumEntropyModel.zip;1;1;1000;1000;1000;1;1
SdcaNonCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\EventClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\AssignmentGroup_events_SdcaNonCalibratedModel.zip;1;1;1000;1000;1000;1;1
OvsASdcaLogisticRegression;C:\Users\max\source\repos\masterthesis\Experiments\EventClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\AssignmentGroup_events_OvsASdcaLogisticRegressionModel.zip;1;1;1000;1000;1000;1;1
OvsASdcaNonCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\EventClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\AssignmentGroup_events_OvsASdcaNonCalibratedModel.zip;1;1;1000;1000;1000;1;1
OvsAFastForest;C:\Users\max\source\repos\masterthesis\Experiments\EventClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\AssignmentGroup_events_OvsAFastForestModel.zip;1;1;1000;1000;1000;1;1
OvsAFastTree;C:\Users\max\source\repos\masterthesis\Experiments\EventClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\AssignmentGroup_events_OvsAFastTreeModel.zip;1;1;1000;1000;1000;1;1
OvsALightGbm;C:\Users\max\source\repos\masterthesis\Experiments\EventClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\AssignmentGroup_events_OvsALightGbmModel.zip;1;1;1000;1000;1000;1;1
OvsALdSvm;C:\Users\max\source\repos\masterthesis\Experiments\EventClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\AssignmentGroup_events_OvsALdSvmModel.zip;1;1;1000;1000;1000;1;1
PwcSdcaLogisticRegression;C:\Users\max\source\repos\masterthesis\Experiments\EventClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\AssignmentGroup_events_PwcSdcaLogisticRegressionModel.zip;1;1;1000;1000;1000;1;1
PwcSgdCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\EventClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\AssignmentGroup_events_PwcSgdCalibratedModel.zip;1;1;1000;1000;1000;1;1
PwcFastForest;C:\Users\max\source\repos\masterthesis\Experiments\EventClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\AssignmentGroup_events_PwcFastForestModel.zip;1;1;1000;1000;1000;1;1
PwcFastTree;C:\Users\max\source\repos\masterthesis\Experiments\EventClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\AssignmentGroup_events_PwcFastTreeModel.zip;1;1;1000;1000;1000;1;1
PwcLightGbm;C:\Users\max\source\repos\masterthesis\Experiments\EventClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\AssignmentGroup_events_PwcLightGbmModel.zip;1;1;1000;1000;1000;1;1
PwcLdSvm;C:\Users\max\source\repos\masterthesis\Experiments\EventClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\AssignmentGroup_events_PwcLdSvmModel.zip;1;1;1000;1000;1000;1;1
