AlgorithmName;ModelPath;AccuracyMacro;AccuracyMicro;TotalTests;CorrectlyClassified;CorrectlyTop5;PercentCorrect;PercentTop5Correct
OvsALdSvm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Category_itsm_OvsALdSvmModel.zip;0,5723892621395129;0,8712706029626539;4793;4176;4771;0,8712705969810486;0,9954099655151367
PwcLdSvm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Category_itsm_PwcLdSvmModel.zip;0,5632781137202636;0,8675151262257459;4793;4158;4768;0,8675151467323303;0,9947840571403503
LightGbm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Category_itsm_LightGbmModel.zip;0,509118732447119;0,8652201126643021;4793;4147;4776;0,8652201294898987;0,9964531660079956
OvsALightGbm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Category_itsm_OvsALightGbmModel.zip;0,5119525839166799;0,8648028374713124;4793;4145;4776;0,8648028373718262;0,9964531660079956
OvsAFastTree;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Category_itsm_OvsAFastTreeModel.zip;0,494596112556699;0,8633423742958481;4793;4138;4768;0,8633423447608948;0,9947840571403503
PwcLightGbm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Category_itsm_PwcLightGbmModel.zip;0,49892354740562894;0,8606300855414145;4793;4125;4776;0,8606300950050354;0,9964531660079956
PwcFastTree;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Category_itsm_PwcFastTreeModel.zip;0,48293436441158466;0,8587523471729606;4793;4116;4767;0,8587523698806763;0,9945754408836365
SdcaNonCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Category_itsm_SdcaNonCalibratedModel.zip;0,4221520015195509;0,8554141456290424;4793;4100;4772;0,8554141521453857;0,9956185817718506
SdcaMaximumEntropy;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Category_itsm_SdcaMaximumEntropyModel.zip;0,4046979965906833;0,8547882328395577;4793;4097;4774;0,8547882437705994;0,9960358738899231
LbfgsMaximumEntropy;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Category_itsm_LbfgsMaximumEntropyModel.zip;0,3845129905469464;0,8531191320675986;4793;4089;4769;0,8531191349029541;0,9949926733970642
