AlgorithmName;ModelPath;AccuracyMacro;AccuracyMicro;TotalTests;CorrectlyClassified;CorrectlyTop5;PercentCorrect;PercentTop5Correct
LightGbm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_LightGbmModel.zip;0,5505826405094805;0,9839349050698936;4793;4716;4793;0,9839348793029785;1
OvsALightGbm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_OvsALightGbmModel.zip;0,540375754067964;0,9828917170874192;4793;4711;4793;0,9828917384147644;1
OvsALdSvm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_OvsALdSvmModel.zip;0,5607623097992824;0,9828917170874192;4793;4711;4793;0,9828917384147644;1
PwcLdSvm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_PwcLdSvmModel.zip;0,5709880996683955;0,9826830794909243;4793;4710;4793;0,9826830625534058;1
SdcaNonCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_SdcaNonCalibratedModel.zip;0,5077118272599874;0,9824744418944293;4793;4709;4793;0,9824744462966919;1
PwcLightGbm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_PwcLightGbmModel.zip;0,5354388298091128;0,9824744418944293;4793;4709;4793;0,9824744462966919;1
SdcaMaximumEntropy;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_SdcaMaximumEntropyModel.zip;0,5076265883067146;0,9818485291049447;4793;4706;4793;0,9818485379219055;1
PwcFastTree;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_PwcFastTreeModel.zip;0,5295027917788186;0,981431253911955;4793;4704;4793;0,981431245803833;1
OvsAFastTree;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_OvsAFastTreeModel.zip;0,5243242170779701;0,9808053411224703;4793;4701;4793;0,9808053374290466;1
PwcSgdNonCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_PwcSgdNonCalibratedModel.zip;0,5160566827009768;0,9808053411224703;4793;4701;4793;0,9808053374290466;1
LbfgsMaximumEntropy;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_LbfgsMaximumEntropyModel.zip;0,5053541983183769;0,9805967035259754;4793;4700;4793;0,9805967211723328;1
OvsASdcaNonCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_OvsASdcaNonCalibratedModel.zip;0,5059939106910962;0,9805967035259754;4793;4700;4793;0,9805967211723328;1
OvsASgdNonCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_OvsASgdNonCalibratedModel.zip;0,510995858956855;0,9805967035259754;4793;4700;4793;0,9805967211723328;1
PwcSdcaLogisticRegression;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_PwcSdcaLogisticRegressionModel.zip;0,48744831733713456;0,9805967035259754;4793;4700;4793;0,9805967211723328;1
PwcSgdCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_PwcSgdCalibratedModel.zip;0,5108130839932208;0,9805967035259754;4793;4700;4793;0,9805967211723328;1
OvsASdcaLogisticRegression;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_OvsASdcaLogisticRegressionModel.zip;0,48587451519987945;0,9795535155435009;4793;4695;4793;0,9795535206794739;1
PwcFastForest;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_PwcFastForestModel.zip;0,5159299332162032;0,9732943876486543;4793;4665;4793;0,9732943773269653;1
OvsAFastForest;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_OvsAFastForestModel.zip;0,5109016214755351;0,9728771124556645;4793;4663;4793;0,9728770852088928;1
OvsASgdCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_OvsASgdCalibratedModel.zip;0,4927975123564898;0,9582724807010223;4793;4593;4793;0,9582724571228027;1
PwcSdcaNonCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_PwcSdcaNonCalibratedModel.zip;0,4929391593930072;0,9413728353849363;4793;4512;4793;0,941372811794281;1
NaiveBayes;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_NaiveBayesModel.zip;0,3404818013507742;0,9021489672438974;4793;4324;4793;0,902148962020874;1
PwcAveragedPerceptron;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_PwcAveragedPerceptronModel.zip;0,4041468874298772;0,807427498435218;4793;3870;4793;0,8074275255203247;1
OvsALinearSvm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_OvsALinearSvmModel.zip;0,36062898875202815;0,798038806592948;4793;3825;4793;0,7980387806892395;1
OvsAAveragedPerceptron;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_OvsAAveragedPerceptronModel.zip;0,3852372772349889;0,7905278531191321;4793;3789;4793;0,790527880191803;1
PwcLinearSvm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Impact_itsm_PwcLinearSvmModel.zip;0,3678391434455647;0,7903192155226372;4793;3788;4793;0,7903192043304443;1
