AlgorithmName;ModelPath;AccuracyMacro;AccuracyMicro;TotalTests;CorrectlyClassified;CorrectlyTop5;PercentCorrect;PercentTop5Correct
OvsALdSvm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\TicketType_itsm_OvsALdSvmModel.zip;0,9895739583131247;0,9926976841226789;4793;4758;4793;0,9926976561546326;1
PwcLdSvm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\TicketType_itsm_PwcLdSvmModel.zip;0,9893629808199211;0,9926976841226789;4793;4758;4793;0,9926976561546326;1
LightGbm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\TicketType_itsm_LightGbmModel.zip;0,9879303160634743;0,9918631337366993;4793;4754;4793;0,9918631315231323;1
OvsALightGbm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\TicketType_itsm_OvsALightGbmModel.zip;0,9882050823539732;0,9916544961402045;4793;4753;4793;0,9916545152664185;1
PwcLightGbm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\TicketType_itsm_PwcLightGbmModel.zip;0,9882050823539732;0,9916544961402045;4793;4753;4793;0,9916545152664185;1
OvsAFastTree;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\TicketType_itsm_OvsAFastTreeModel.zip;0,9858647188274163;0,9910285833507197;4793;4750;4793;0,9910286068916321;1
PwcFastTree;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\TicketType_itsm_PwcFastTreeModel.zip;0,9858647188274163;0,9910285833507197;4793;4750;4793;0,9910286068916321;1
SdcaMaximumEntropy;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\TicketType_itsm_SdcaMaximumEntropyModel.zip;0,9866056178003009;0,9899853953682454;4793;4745;4793;0,9899854063987732;1
PwcSgdCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\TicketType_itsm_PwcSgdCalibratedModel.zip;0,9868165952935044;0,9899853953682454;4793;4745;4793;0,9899854063987732;1
LbfgsMaximumEntropy;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\TicketType_itsm_LbfgsMaximumEntropyModel.zip;0,9841376766791531;0,9897767577717504;4793;4744;4793;0,9897767305374146;1
