AlgorithmName;ModelPath;AccuracyMacro;AccuracyMicro;TotalTests;CorrectlyClassified;CorrectlyTop5;PercentCorrect;PercentTop5Correct
OvsALightGbm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Urgency_itsm_OvsALightGbmModel.zip;0,6275721604684049;0,8789901940329647;4793;4213;4793;0,8789901733398438;1
PwcLightGbm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Urgency_itsm_PwcLightGbmModel.zip;0,6237965269931248;0,8760692676820363;4793;4199;4793;0,8760692477226257;1
LightGbm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Urgency_itsm_LightGbmModel.zip;0,6062815772785285;0,8716878781556436;4793;4178;4793;0,8716878890991211;1
OvsAFastTree;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Urgency_itsm_OvsAFastTreeModel.zip;0,5994413704673641;0,871061965366159;4793;4175;4793;0,8710619807243347;1
SdcaMaximumEntropy;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Urgency_itsm_SdcaMaximumEntropyModel.zip;0,5963631113744158;0,8700187773836845;4793;4170;4793;0,8700187802314758;1
SdcaNonCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Urgency_itsm_SdcaNonCalibratedModel.zip;0,5968859417054171;0,8698101397871897;4793;4169;4793;0,869810163974762;1
OvsASdcaNonCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Urgency_itsm_OvsASdcaNonCalibratedModel.zip;0,5974909080941088;0,8696015021906948;4793;4168;4793;0,8696014881134033;1
PwcSgdCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Urgency_itsm_PwcSgdCalibratedModel.zip;0,6014600251576159;0,8693928645941998;4793;4167;4793;0,8693928718566895;1
OvsALdSvm;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Urgency_itsm_OvsALdSvmModel.zip;0,6174291894836706;0,869184226997705;4793;4166;4793;0,8691842555999756;1
PwcSgdNonCalibrated;C:\Users\max\source\repos\masterthesis\Experiments\IncidentClassificationExperiment\bin\Debug\netcoreapp3.1\..\..\..\Models\Urgency_itsm_PwcSgdNonCalibratedModel.zip;0,6103788134756974;0,8683496766117255;4793;4162;4793;0,8683496713638306;1
